"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",1,"Female",26,"","","Yes","yes",2
1,"englsh",0,"Male",30,"none","","Yes",".5",3
2,"English",0,"Male",49,"No.","Thank you.","Yes","Yes.",1
3,"english",0,"Male",26,"no","","Yes","this is fine",3
4,"English",-1,"Male",30,"No","n/a","Yes","$0.60 or higher",2
5,"English",0,"Male",27,"None","","Yes","0.50",1
6,"English",1,"Female",41,"no","This was curious and I am interested in what you were looking to study for the survey. Thank you =)","Yes","0.15",2
7,"English",0,"Male",24,"no","","Yes",".30",3
8,"English",1,"Male",22,"","","Yes","Yes",1
9,"English",0,"Male",25,"no","","Yes","yes",3
10,"English ",0,"Male",41,"no","","Confused","too low",1
11,"English",1,"Male",26,"Progress bar was a little wonky.","Interesting survey.","Yes",".30",3
12,"english",0,"Male",52,"no","","Yes",".40",4
13,"English",0,"Male",57,"No","","Yes",".50",3
14,"english",0,"Male",30,"no","","Yes","0.45",2
15,"Spanish",0,"Male",30,"Yes","","Yes","0.75",3
16,"English",1,"Female",24,"No","","Yes","0.30",3
17,"English",0,"Female",34,"no","","Yes","0.50",3
18,"English",0,"Male",24,"","","Yes","0.3",1
19,"English",-1,"Female",32,"No","","Yes","0.3",4
20,"English",0,"Male",20,"No","","Yes","0.3",2
21,"English",1,"Female",38,"no","","Yes","0.3",4
22,"English",0,"Male",32,"No","","Yes",NA,3
23,"English",1,"Female",32,"No","","Yes","0.35",3
24,"english",0,"Female",29,"no","none","No",NA,2
25,"English",0,"Female",40,"No","No","Yes","0.3",2
26,"english",0,"Female",22,"no","","Yes","0.3",3
27,"english",0,"Female",48,"","","Yes",".30",1
28,"en",-1,"Male",26,"0","0","No","1.00",3
29,"English",0,"Female",57,"no","","Yes","sure",1
30,"English",0,"Male",30,"No problems that I know of.","","Confused","I think the amount on it is fair",2
31,"English",1,"Female",34,"no","","Yes","slightly low",2
32,"English",0,"Male",35,"n/a","Thank you for the opportunity","Yes",".30",3
33,"English",0,"Male",28,"no","","Yes",".50",3
34,"Bulgarian ",1,"Female",42,"No","","Yes","Yes",2
35,"English",1,"Male",27,"none","","No",".50",2
36,"English",1,"Female",37,"no","","Yes",".50",3
37,"English",1,"Female",43,"NO.","","Yes",".30",3
38,"English",0,"Male",47,"No","none","Yes","$0.60",3
39,"Spanish",1,"Male",41,"No.","None.","Yes","0.40",3
40,"English",1,"Male",31,"No.","Thank you.","Yes",".50",2
41,"English",1,"Male",40,"No","","Yes","0.30",2
42,"English",0,"Male",35,"no","","Yes","0.40",3
