workerid,rt,trial_type,property,trial_num,experimentResults,missing,explanation,n_data,condition,distribution,property_type,response,category,pass_both,language,englishNative
0,55603,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,Every animal named later in the alphabet seemed to be around 26%,10,prior,rare_weak,psychological,0.21,K,1,english,TRUE
0,55603,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,Every animal named later in the alphabet seemed to be around 26%,10,prior,rare_weak,psychological,0.21,L,1,english,TRUE
0,55603,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,Every animal named later in the alphabet seemed to be around 26%,10,prior,rare_weak,psychological,0.23,M,1,english,TRUE
0,55603,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,Every animal named later in the alphabet seemed to be around 26%,10,prior,rare_weak,psychological,0.2,N,1,english,TRUE
0,55603,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,Every animal named later in the alphabet seemed to be around 26%,10,prior,rare_weak,psychological,0.23,O,1,english,TRUE
2,218166,prior_manipulation,know when earthquakes are about to happen,1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,prior,rare_weak,psychological,0.04,K,1,English,TRUE
2,218166,prior_manipulation,know when earthquakes are about to happen,1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,prior,rare_weak,psychological,0,L,1,English,TRUE
2,218166,prior_manipulation,know when earthquakes are about to happen,1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,prior,rare_weak,psychological,0.26,M,1,English,TRUE
2,218166,prior_manipulation,know when earthquakes are about to happen,1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,prior,rare_weak,psychological,0.26,N,1,English,TRUE
2,218166,prior_manipulation,know when earthquakes are about to happen,1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,prior,rare_weak,psychological,0.28,O,1,English,TRUE
3,50795,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 27, 98, 98, 25, 25, 100, 27, 24, u'?']",10,it seemed like a pattern,10,prior,weak_or_deterministic,psychological,0.96,K,1,english,TRUE
3,50795,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 27, 98, 98, 25, 25, 100, 27, 24, u'?']",10,it seemed like a pattern,10,prior,weak_or_deterministic,psychological,0.95,L,1,english,TRUE
3,50795,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 27, 98, 98, 25, 25, 100, 27, 24, u'?']",10,it seemed like a pattern,10,prior,weak_or_deterministic,psychological,0.28,M,1,english,TRUE
3,50795,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 27, 98, 98, 25, 25, 100, 27, 24, u'?']",10,it seemed like a pattern,10,prior,weak_or_deterministic,psychological,0.29,N,1,english,TRUE
3,50795,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 27, 98, 98, 25, 25, 100, 27, 24, u'?']",10,it seemed like a pattern,10,prior,weak_or_deterministic,psychological,0.95,O,1,english,TRUE
4,200511,prior_manipulation,know when earthquakes are about to happen,1,"[100, 76, 100, 73, 74, 100, 78, 98, 72, 100, u'?']",10,"I know the animals are probably random, but I went with the pattern I saw with A through J- 100, not 100, 100, two not 100, 100, three not 100, and so on. And I put near 98% for animal M since that was similar to the pattern between animals F and J.",10,prior,strong_or_deterministic,psychological,0.78,K,1,English,TRUE
4,200511,prior_manipulation,know when earthquakes are about to happen,1,"[100, 76, 100, 73, 74, 100, 78, 98, 72, 100, u'?']",10,"I know the animals are probably random, but I went with the pattern I saw with A through J- 100, not 100, 100, two not 100, 100, three not 100, and so on. And I put near 98% for animal M since that was similar to the pattern between animals F and J.",10,prior,strong_or_deterministic,psychological,0.79,L,1,English,TRUE
4,200511,prior_manipulation,know when earthquakes are about to happen,1,"[100, 76, 100, 73, 74, 100, 78, 98, 72, 100, u'?']",10,"I know the animals are probably random, but I went with the pattern I saw with A through J- 100, not 100, 100, two not 100, 100, three not 100, and so on. And I put near 98% for animal M since that was similar to the pattern between animals F and J.",10,prior,strong_or_deterministic,psychological,0.94,M,1,English,TRUE
4,200511,prior_manipulation,know when earthquakes are about to happen,1,"[100, 76, 100, 73, 74, 100, 78, 98, 72, 100, u'?']",10,"I know the animals are probably random, but I went with the pattern I saw with A through J- 100, not 100, 100, two not 100, 100, three not 100, and so on. And I put near 98% for animal M since that was similar to the pattern between animals F and J.",10,prior,strong_or_deterministic,psychological,0.79,N,1,English,TRUE
4,200511,prior_manipulation,know when earthquakes are about to happen,1,"[100, 76, 100, 73, 74, 100, 78, 98, 72, 100, u'?']",10,"I know the animals are probably random, but I went with the pattern I saw with A through J- 100, not 100, 100, two not 100, 100, three not 100, and so on. And I put near 98% for animal M since that was similar to the pattern between animals F and J.",10,prior,strong_or_deterministic,psychological,1,O,1,English,TRUE
5,78886,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 100, 1, 0, 0, 100, 100, 100, 0, u'?']",10,I tried matching a pattern in the alphabet.,10,prior,rare_deterministic,psychological,0,K,1,English,TRUE
5,78886,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 100, 1, 0, 0, 100, 100, 100, 0, u'?']",10,I tried matching a pattern in the alphabet.,10,prior,rare_deterministic,psychological,1,L,1,English,TRUE
5,78886,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 100, 1, 0, 0, 100, 100, 100, 0, u'?']",10,I tried matching a pattern in the alphabet.,10,prior,rare_deterministic,psychological,1,M,1,English,TRUE
5,78886,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 100, 1, 0, 0, 100, 100, 100, 0, u'?']",10,I tried matching a pattern in the alphabet.,10,prior,rare_deterministic,psychological,0,N,1,English,TRUE
5,78886,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 100, 1, 0, 0, 100, 100, 100, 0, u'?']",10,I tried matching a pattern in the alphabet.,10,prior,rare_deterministic,psychological,1,O,1,English,TRUE
6,254183,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 1, 51, 44, 0, 51, 0, 52, 0, u'?']",10,For the most part it seemed every other one found either had a little or half. So I followed that type of pattern.,10,prior,rare_half,psychological,0.46,K,1,English,TRUE
6,254183,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 1, 51, 44, 0, 51, 0, 52, 0, u'?']",10,For the most part it seemed every other one found either had a little or half. So I followed that type of pattern.,10,prior,rare_half,psychological,0.01,L,1,English,TRUE
6,254183,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 1, 51, 44, 0, 51, 0, 52, 0, u'?']",10,For the most part it seemed every other one found either had a little or half. So I followed that type of pattern.,10,prior,rare_half,psychological,0.42,M,1,English,TRUE
6,254183,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 1, 51, 44, 0, 51, 0, 52, 0, u'?']",10,For the most part it seemed every other one found either had a little or half. So I followed that type of pattern.,10,prior,rare_half,psychological,0,N,1,English,TRUE
6,254183,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 1, 51, 44, 0, 51, 0, 52, 0, u'?']",10,For the most part it seemed every other one found either had a little or half. So I followed that type of pattern.,10,prior,rare_half,psychological,0.45,O,1,English,TRUE
7,47414,prior_manipulation,know when earthquakes are about to happen,1,"[51, 50, 1, 1, 52, 0, 1, 52, 51, 0, u'?']",10,I just went with the pattern as seen in the chart.,10,prior,rare_half,psychological,0,K,1,English,TRUE
7,47414,prior_manipulation,know when earthquakes are about to happen,1,"[51, 50, 1, 1, 52, 0, 1, 52, 51, 0, u'?']",10,I just went with the pattern as seen in the chart.,10,prior,rare_half,psychological,0.09,L,1,English,TRUE
7,47414,prior_manipulation,know when earthquakes are about to happen,1,"[51, 50, 1, 1, 52, 0, 1, 52, 51, 0, u'?']",10,I just went with the pattern as seen in the chart.,10,prior,rare_half,psychological,0.48,M,1,English,TRUE
7,47414,prior_manipulation,know when earthquakes are about to happen,1,"[51, 50, 1, 1, 52, 0, 1, 52, 51, 0, u'?']",10,I just went with the pattern as seen in the chart.,10,prior,rare_half,psychological,0.48,N,1,English,TRUE
7,47414,prior_manipulation,know when earthquakes are about to happen,1,"[51, 50, 1, 1, 52, 0, 1, 52, 51, 0, u'?']",10,I just went with the pattern as seen in the chart.,10,prior,rare_half,psychological,0,O,1,English,TRUE
8,28172,prior_manipulation,know when earthquakes are about to happen,1,"[0, 99, 99, 0, 0, 100, 0, 100, 0, 97, u'?']",10,This seems to be consistent and reflective of the data on the previous page.,10,prior,rare_deterministic,psychological,0.9,K,1,English,TRUE
8,28172,prior_manipulation,know when earthquakes are about to happen,1,"[0, 99, 99, 0, 0, 100, 0, 100, 0, 97, u'?']",10,This seems to be consistent and reflective of the data on the previous page.,10,prior,rare_deterministic,psychological,0.98,L,1,English,TRUE
8,28172,prior_manipulation,know when earthquakes are about to happen,1,"[0, 99, 99, 0, 0, 100, 0, 100, 0, 97, u'?']",10,This seems to be consistent and reflective of the data on the previous page.,10,prior,rare_deterministic,psychological,1,M,1,English,TRUE
8,28172,prior_manipulation,know when earthquakes are about to happen,1,"[0, 99, 99, 0, 0, 100, 0, 100, 0, 97, u'?']",10,This seems to be consistent and reflective of the data on the previous page.,10,prior,rare_deterministic,psychological,0.9,N,1,English,TRUE
8,28172,prior_manipulation,know when earthquakes are about to happen,1,"[0, 99, 99, 0, 0, 100, 0, 100, 0, 97, u'?']",10,This seems to be consistent and reflective of the data on the previous page.,10,prior,rare_deterministic,psychological,0.89,O,1,English,TRUE
9,104571,prior_manipulation,know when earthquakes are about to happen,1,"[70, 45, 30, 0, 95, 55, 5, 100, 20, 80, u'?']",10,I did not observe the pattern so it is a wild guess,10,prior,uniform,psychological,0.31,K,1,English,TRUE
