"workerid","rt","trial_type","property_type","trial_num","category","explanation","property","response"
0,5378,"implied_prevalence","disease_other",1,"grinks",NA,"transmit rabies",0.14
0,5887,"implied_prevalence","physical",2,"sapers",NA,"have an exquisite sense of smell",1
0,4390,"implied_prevalence","reproduction",3,"crullets",NA,"attract mates by secreting pheromones",0.5
0,3808,"implied_prevalence","physical",4,"kweps",NA,"have brown fur",0.87
0,4901,"implied_prevalence","behavior_aggressive",5,"trufts",NA,"pound their chests to display dominance",0.47
0,3269,"implied_prevalence","psychological",6,"zorbs",NA,"are intelligent",0.89
0,4054,"implied_prevalence","psychological",7,"lorches",NA,"know when earthquakes are about to happen",0.87
0,3498,"implied_prevalence","behavior_aggressive",8,"fendles",NA,"capture other animals&quotechar territory",0.53
0,2881,"implied_prevalence","reproduction",9,"plovs",NA,"give birth underwater",0.5
0,3580,"implied_prevalence","disease_self",10,"elleps",NA,"get addicted to nicotine",0.72
0,3725,"implied_prevalence","diet",11,"krivels",NA,"eat candy wrappers",0.24
0,2725,"implied_prevalence","physical",12,"moxes",NA,"have very long wings",0.52
0,2885,"implied_prevalence","psychological",13,"frams",NA,"know how to open doors",0.56
0,2346,"implied_prevalence","behavior",14,"ludinos",NA,"chase their tails",0.76
0,3481,"implied_prevalence","reproduction",15,"dunkels",NA,"lay eggs without needing fertilization",0.73
0,3530,"implied_prevalence","disease_self",16,"taifels",NA,"have seizures",0.45
0,4721,"implied_prevalence","habitat",17,"daiths",NA,"live in urban areas",0.59
0,4288,"implied_prevalence","behavior",18,"thups",NA,"perform in the circus",0.16
0,2251,"implied_prevalence","diet",19,"wugs",NA,"eat cannabis",0.67
0,1915,"implied_prevalence","psychological",20,"cheebas",NA,"mourn their dead",0.83
0,2531,"implied_prevalence","diet",21,"pangolins",NA,"eat insects",1
0,3086,"implied_prevalence","behavior",22,"blins",NA,"fly into building windows",0.28
0,2472,"implied_prevalence","behavior",23,"ollers",NA,"like to cuddle",0.77
0,2775,"implied_prevalence","diet",24,"feps",NA,"fish in the Hudson River",0.6
0,2497,"implied_prevalence","diet",25,"dobles",NA,"eat human food",0.85
