"workerid","rt","trial_type","property_type","trial_num","category","prevalence","explanation","response","prevalence_level","property","left_button"
0,8844,"truth_conditions","psychological",1,"javs",27,NA,0,30,"are intelligent","True"
0,5723,"truth_conditions","diet",2,"kweps",31,NA,0,30,"feed on the carcasses of dead animals","True"
0,1902,"truth_conditions","diet",3,"zorbs",88,NA,1,90,"eat grass","True"
0,2240,"truth_conditions","psychological",4,"ackles",11,NA,0,10,"are afraid of loud noises","True"
0,1934,"truth_conditions","diet",5,"moxes",94,NA,1,90,"drink soda","True"
0,2509,"truth_conditions","psychological",6,"cheebas",53,NA,1,50,"know when earthquakes are about to happen","True"
0,2137,"truth_conditions","behavior",7,"sapers",91,NA,1,90,"perform in the circus","True"
0,2622,"truth_conditions","habitat",8,"krivels",67,NA,1,70,"live in zoos","True"
0,1641,"truth_conditions","disease_self",9,"dunkels",30,NA,0,30,"get dandruff","True"
0,1867,"truth_conditions","disease_self",10,"grinks",6,NA,0,10,"get addicted to nicotine","True"
0,2014,"truth_conditions","disease_self",11,"zoovs",86,NA,1,90,"develop back problems","True"
0,1642,"truth_conditions","habitat",12,"feps",66,NA,1,70,"live in the hulls of sea vessels","True"
0,2385,"truth_conditions","behavior_aggressive",13,"wugs",10,NA,0,10,"attack hikers","True"
0,1767,"truth_conditions","physical",14,"trufts",50,NA,1,50,"have brown fur","True"
0,1609,"truth_conditions","behavior_aggressive",15,"dobles",47,NA,0,50,"steal farmers&quotechar crops","True"
0,1867,"truth_conditions","psychological",16,"ollers",52,NA,1,50,"mourn their dead","True"
0,2115,"truth_conditions","disease_other",17,"morseths",29,NA,0,30,"carry malaria","True"
0,1484,"truth_conditions","behavior",18,"elleps",12,NA,0,10,"like to cuddle","True"
0,1362,"truth_conditions","diet",19,"ludinos",73,NA,1,70,"eat human food","True"
0,2114,"truth_conditions","behavior_aggressive",20,"thups",68,NA,1,70,"torture other animals","True"
0,1845,"truth_conditions","habitat",21,"fendles",53,NA,1,50,"live in urban areas","True"
0,2676,"truth_conditions","disease_self",22,"kazzes",85,NA,1,90,"go bald","True"
0,1486,"truth_conditions","physical",23,"blins",12,NA,0,10,"have very long wings","True"
0,1373,"truth_conditions","diet",24,"crullets",66,NA,1,70,"fish in the Hudson River","True"
0,1383,"truth_conditions","behavior",25,"dorbs",30,NA,0,30,"sleep during the day","True"
1,5156,"truth_conditions","diet",1,"stups",51,NA,1,50,"drink soda","False"
1,4931,"truth_conditions","behavior_aggressive",2,"dorbs",74,NA,1,70,"attack hikers","False"
1,6527,"truth_conditions","behavior_aggressive",3,"zoovs",6,NA,0,10,"steal farmers&quotechar crops","False"
1,2054,"truth_conditions","habitat",4,"taifels",87,NA,1,90,"live in the hulls of sea vessels","False"
1,2012,"truth_conditions","behavior",5,"blins",88,NA,1,90,"sleep during the day","False"
1,2745,"truth_conditions","diet",6,"crullets",48,NA,1,50,"feed on the carcasses of dead animals","False"
1,1475,"truth_conditions","habitat",7,"daiths",89,NA,1,90,"live in zoos","False"
1,12397,"truth_conditions","disease_other",8,"mooks",34,NA,1,30,"carry malaria","False"
1,3364,"truth_conditions","psychological",9,"moxes",55,NA,1,50,"know when earthquakes are about to happen","False"
1,1722,"truth_conditions","physical",10,"reesles",68,NA,1,70,"have brown fur","False"
1,2514,"truth_conditions","disease_self",11,"luzaks",94,NA,1,90,"get addicted to nicotine","False"
1,3745,"truth_conditions","habitat",12,"morseths",30,NA,1,30,"live in urban areas","False"
1,1834,"truth_conditions","psychological",13,"lorches",8,NA,0,10,"are afraid of loud noises","False"
1,3031,"truth_conditions","psychological",14,"kweps",54,NA,1,50,"mourn their dead","False"
1,6455,"truth_conditions","psychological",15,"ackles",32,NA,0,30,"are intelligent","False"
1,2934,"truth_conditions","disease_self",16,"dobles",46,NA,1,50,"get dandruff","False"
1,3893,"truth_conditions","disease_self",17,"cheebas",30,NA,1,30,"go bald","False"
1,3608,"truth_conditions","behavior_aggressive",18,"glippets",25,NA,0,30,"torture other animals","False"
1,4163,"truth_conditions","diet",19,"zorbs",73,NA,1,70,"eat human food","False"
1,2134,"truth_conditions","behavior",20,"ollers",8,NA,0,10,"like to cuddle","False"
1,3974,"truth_conditions","disease_self",21,"grinks",69,NA,1,70,"develop back problems","False"
1,6385,"truth_conditions","diet",22,"thups",10,NA,0,10,"eat grass","False"
1,2815,"truth_conditions","behavior",23,"elleps",93,NA,1,90,"perform in the circus","False"
1,1974,"truth_conditions","diet",24,"plovs",68,NA,1,70,"fish in the Hudson River","False"
1,2506,"truth_conditions","physical",25,"dunkels",12,NA,0,10,"have very long wings","False"
1,24124,"explain_responses","habitat",12,"morseths",30,"some morseths live in urban areas so I decided it was true",1,30,"live in urban areas",NA
1,13762,"explain_responses","disease_self",17,"cheebas",30,"some cheebas go bald so I felt it was right to say that it was true",1,30,"go bald",NA
1,19183,"explain_responses","disease_other",8,"mooks",34,"some mooks carry malaria so I thought it was basically true",1,30,"carry malaria",NA
2,9248,"truth_conditions","diet",1,"fendles",94,NA,1,90,"fish in the Hudson River","False"
2,7383,"truth_conditions","habitat",2,"frams",47,NA,0,50,"live in urban areas","False"
2,1088,"truth_conditions","physical",3,"grinks",72,NA,1,70,"have brown fur","False"
2,1672,"truth_conditions","diet",4,"javs",51,NA,1,50,"feed on the carcasses of dead animals","False"
2,3789,"truth_conditions","habitat",5,"sapers",6,NA,0,10,"live in zoos","False"
2,1836,"truth_conditions","diet",6,"stups",47,NA,0,50,"eat grass","False"
2,1086,"truth_conditions","behavior_aggressive",7,"dorbs",27,NA,0,30,"steal farmers&quotechar crops","False"
2,1006,"truth_conditions","behavior",8,"taifels",87,NA,1,90,"sleep during the day","False"
2,1054,"truth_conditions","physical",9,"krivels",52,NA,1,50,"have very long wings","False"
2,1023,"truth_conditions","psychological",10,"ackles",6,NA,0,10,"are afraid of loud noises","False"
2,772,"truth_conditions","disease_self",11,"blins",90,NA,1,90,"develop back problems","False"
2,1373,"truth_conditions","disease_self",12,"zorbs",29,NA,0,30,"go bald","False"
2,3301,"truth_conditions","behavior",13,"reesles",30,NA,0,30,"like to cuddle","False"
2,1371,"truth_conditions","psychological",14,"morseths",92,NA,1,90,"know when earthquakes are about to happen","False"
2,1500,"truth_conditions","behavior_aggressive",15,"dobles",71,NA,1,70,"attack hikers","False"
2,1006,"truth_conditions","habitat",16,"cheebas",32,NA,0,30,"live in the hulls of sea vessels","False"
2,1000,"truth_conditions","behavior_aggressive",17,"ludinos",86,NA,1,90,"torture other animals","False"
2,1023,"truth_conditions","diet",18,"luzaks",46,NA,0,50,"drink soda","False"
