"workerid","rt","trial_type","property","trial_num","experimentResults","missing","explanation","n_data","condition","distribution","property_type","response","category"
0,32520,"prior_manipulation","know when earthquakes are about to happen",1,"[55, 20, 45, 5, 100, 95, 0, 30, 70, 80, u'?']",10,"gut feeling",10,"listener","uniform","psychological",0.6,"reesles"
1,56155,"prior_manipulation","know when earthquakes are about to happen",1,"[24, 27, 21, 74, 25, 77, 76, 26, 76, 80, u'?']",10,"I think it will be an average amount",10,"listener","weak_or_strong","psychological",0.45,"zoovs"
2,112162,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 100, 26, 99, 21, 25, 31, 26, 100, u'?']",10,"a majority of the animals know when earthquakes are going to happen. ",10,"listener","weak_or_deterministic","psychological",0.96,"ollers"
3,54711,"prior_manipulation","know when earthquakes are about to happen",1,"[5, 45, 80, 95, 0, 100, 30, 70, 55, 20, u'?']",10,"It seemed like the correct range.",10,"listener","uniform","psychological",0.57,"mooks"
4,60797,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 77, 75, 28, 73, 27, 74, 25, 26, 22, u'?']",10,"Because the other animals aware of earthquakes all were in the 70th percentile",10,"listener","weak_or_strong","psychological",0.78,"ackles"
5,62025,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 25, 28, 100, 23, 26, 100, 25, 100, 100, u'?']",10,"If my partner told me that I would assume it would be an animal that could predict earthquakes 100% like the other few species.",10,"listener","weak_or_deterministic","psychological",1,"lorches"
6,52391,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 80, 28, 27, 72, 20, 27, 27, 73, u'?']",10,"That seems the mostly likely since every other animal is in that range.",10,"listener","weak_or_strong","psychological",0.75,"luzaks"
7,104242,"prior_manipulation","know when earthquakes are about to happen",1,"[28, 99, 100, 98, 28, 99, 25, 26, 100, 22, u'?']",10,"It seems the animals on this planet either have around a 1 in 4 chance or a near 100% chance. ",10,"listener","weak_or_deterministic","psychological",0.97,"taifels"
8,102221,"prior_manipulation","know when earthquakes are about to happen",1,"[28, 27, 26, 100, 100, 29, 98, 29, 100, 100, u'?']",10,"Most if not all K creatures could sense earthquakes almost unilaterally. Very little variance. ",10,"listener","weak_or_deterministic","psychological",0.94,"ackles"
9,58859,"prior_manipulation","know when earthquakes are about to happen",1,"[23, 98, 28, 99, 24, 27, 97, 100, 97, 28, u'?']",10,"It&quotechars what I remember being told",10,"listener","weak_or_deterministic","psychological",0.98,"elleps"
10,125336,"prior_manipulation","know when earthquakes are about to happen",1,"[24, 22, 29, 99, 100, 100, 97, 100, 22, 27, u'?']",10,"no",10,"listener","weak_or_deterministic","psychological",0.25,"dunkels"
11,88030,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 25, 23, 25, 75, 74, 72, 26, 75, 29, u'?']",10,"Well, one of the highest percentages I saw previously noted 75%. I believe it would fit with that category since my partner seems confident they can predict earthquakes.",10,"listener","weak_or_strong","psychological",0.75,"dorbs"
12,106734,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 5, 45, 95, 55, 30, 100, 0, 70, 80, u'?']",10,"Honestly, it just felt right.  If it were 100% then it would be a different animal, and there were several that were between 50 and 100%",10,"listener","uniform","psychological",0.8,"javs"
13,139378,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 27, 97, 26, 100, 26, 28, 100, 97, 28, u'?']",10,"Seemed to work well with the rough estimate of averages I observed of the previous numbers ",10,"listener","weak_or_deterministic","psychological",0.26,"javs"
14,126903,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 26, 21, 98, 20, 22, 100, 100, 29, 98, u'?']",10,"",10,"listener","weak_or_deterministic","psychological",0.4,"daiths"
15,134055,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 24, 23, 100, 97, 98, 98, 25, 24, 22, u'?']",10,"It seemed like a lot of the animals had high percentages, but some had percentages in the 20s. This seems like a good estimate between the two.",10,"listener","weak_or_deterministic","psychological",0.8,"taifels"
16,266044,"prior_manipulation","know when earthquakes are about to happen",1,"[23, 21, 78, 77, 69, 73, 24, 71, 23, 24, u'?']",10,"I believe it",10,"listener","weak_or_strong","psychological",0.64,"moxes"
17,408542,"prior_manipulation","know when earthquakes are about to happen",1,"[22, 25, 74, 79, 23, 76, 31, 72, 70, 24, u'?']",10,"thought it was the % I saw",10,"listener","weak_or_strong","psychological",0.72,"mooks"
18,71875,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 80, 30, 20, 45, 5, 55, 70, 0, 95, u'?']",10,"It seems like it could be any number. ",10,"listener","uniform","psychological",0.48,"dorbs"
19,167006,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 95, 99, 96, 23, 20, 26, 24, 25, 98, u'?']",10,"I think the sample amount may not be enough, but since a random picked animal knows when earthquakes are about to happen, then  I assume the majority of the animal should know, I think 90% is a pretty good guess for me. ",10,"listener","weak_or_deterministic","psychological",0.9,"wugs"
20,282759,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 80, 30, 0, 55, 45, 70, 100, 5, 95, u'?']",10,"I figured it would know as much if not more than G&quotechars.",10,"listener","uniform","psychological",0.76,"stups"
21,88289,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 20, 55, 0, 30, 70, 5, 95, 45, 80, u'?']",10,"Not listed",10,"listener","uniform","psychological",0.02,"ollers"
22,268869,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 100, 27, 99, 100, 99, 23, 30, 100, 24, u'?']",10,"I guessed based on the pattern of the previous % of animals who can predict earthquakes",10,"listener","weak_or_deterministic","psychological",0.99,"stups"
23,59791,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 24, 100, 23, 99, 24, 98, 25, 100, 27, u'?']",10,"There&quotechars a pattern of high recognition and low recognition, in alphabetical order, and the previous letter had lower recognition.",10,"listener","weak_or_deterministic","psychological",0.97,"moxes"
24,94837,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 45, 0, 30, 80, 70, 55, 100, 20, 5, u'?']",10,"This seemed to be a good average numbers considering how the other animals all were scaled.  Very few of them had high abilities to tell when earthquakes are about to happen.",10,"listener","uniform","psychological",0.5,"zorbs"
25,99582,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 75, 75, 73, 76, 22, 76, 23, 21, 23, u'?']",10,"Seems as if most animals did not know when an earthquake will occur",10,"listener","weak_or_strong","psychological",0.23,"fendles"
26,120165,"prior_manipulation","know when earthquakes are about to happen",1,"[98, 100, 23, 99, 100, 24, 26, 24, 23, 99, u'?']",10,"My partner didn&quotechart say ""some"" Ks know when earthquakes are about to happen. His wording heavily implied that ALL Ks know when they will happen.",10,"listener","weak_or_deterministic","psychological",1,"blins"
27,47536,"prior_manipulation","know when earthquakes are about to happen",1,"[25, 77, 75, 22, 26, 27, 26, 79, 74, 78, u'?']",10,"it could go either way really nothing really states otherwise",10,"listener","weak_or_strong","psychological",0.5,"javs"
28,101911,"prior_manipulation","know when earthquakes are about to happen",1,"[25, 22, 78, 24, 77, 76, 25, 74, 23, 77, u'?']",10,"I used the trends in the previous data to determine this percentage.",10,"listener","weak_or_strong","psychological",0.72,"ackles"
