"workerid","rt","trial_type","property_type","trial_num","category","explanation","property","response"
0,6502,"implied_prevalence","physical",1,"crullets","","have an exquisite sense of smell",0.95
0,8115,"implied_prevalence","psychological",2,"daiths","","know how to ride bicycles",0.94
0,4980,"implied_prevalence","psychological",3,"cheebas","","develop phobias",0.81
0,10013,"implied_prevalence","disease_self",4,"krivels","","develop back problems",0.85
0,3809,"implied_prevalence","psychological",5,"pangolins","","mourn their dead",0.99
0,3744,"implied_prevalence","habitat",6,"javs","","live in the hulls of sea vessels",0.83
0,3225,"implied_prevalence","disease_other",7,"ackles","","transmit HIV",0.73
0,5512,"implied_prevalence","behavior",8,"stups","","do handstands to scare off predators",0.85
0,2641,"implied_prevalence","behavior",9,"ludinos","","play with bottlecaps",0.99
0,3081,"implied_prevalence","psychological",10,"frams","","know when earthquakes are about to happen",0.89
0,4493,"implied_prevalence","reproduction",11,"dunkels","","have a menstrual cycle",0.8
0,11582,"implied_prevalence","reproduction",12,"zorbs","","attract mates by secreting pheromones",0.97
0,4388,"implied_prevalence","diet",13,"grinks","","eat people",0.98
0,6307,"implied_prevalence","disease_self",14,"kweps","","are addicted to nicotine",0.91
0,3398,"implied_prevalence","habitat",15,"wugs","","live in high-rise buildings",0.97
0,2941,"implied_prevalence","disease_self",16,"sapers","","get cancer",0.87
0,2895,"implied_prevalence","behavior_aggressive",17,"thups","","get in fights with other animals",0.99
0,2670,"implied_prevalence","psychological",18,"dobles","","are afraid of dogs",0.85
0,4395,"implied_prevalence","reproduction",19,"reesles","","lay eggs in other birds&quotechar nests",0.96
0,10987,"implied_prevalence","behavior",20,"glippets","","fly into building windows",0.87
0,3068,"implied_prevalence","diet",21,"luzaks","","drink alcohol left behind by tourists",0.99
0,2475,"implied_prevalence","habitat",22,"mooks","","live in trees",0.98
0,2220,"implied_prevalence","diet",23,"feps","","cannibalize each other",0.84
0,4253,"implied_prevalence","reproduction",24,"trufts","","have dozens of sexual partners",0.59
0,5054,"implied_prevalence","physical",25,"plovs","","have spots",1
0,4058,"implied_prevalence","reproduction",26,"taifels","","get erections",0.75
0,3180,"implied_prevalence","psychological",27,"blins","","experience emotions",0.99
0,2566,"implied_prevalence","behavior",28,"zoovs","","perform in the circus",0.82
0,4207,"implied_prevalence","reproduction",29,"elleps","","lay eggs without needing fertilization",0.95
0,3263,"implied_prevalence","physical",30,"lorches","","have brown fur",1
0,2925,"implied_prevalence","diet",31,"morseths","","drink soda",0.93
0,2183,"implied_prevalence","disease_self",32,"kazzes","","go bald",0.94
0,3817,"implied_prevalence","physical",33,"moxes","","live to be a hundred years old",1
0,2594,"implied_prevalence","behavior_aggressive",34,"fendles","","capture other animals&quotechar territory",0.88
0,6555,"implied_prevalence","behavior_aggressive",35,"ollers","","attack hikers",0.95
0,2632,"implied_prevalence","diet",36,"dorbs","","eat insects",1
1,5593,"implied_prevalence","behavior_aggressive",1,"morseths","","torture other animals",0.79
1,4879,"implied_prevalence","behavior",2,"daiths","","like to cuddle",0.79
1,4121,"implied_prevalence","diet",3,"reesles","","eat cannabis",0.38
1,5252,"implied_prevalence","physical",4,"luzaks","","live to be five hundred years old",0.6
1,3727,"implied_prevalence","psychological",5,"ackles","","know when earthquakes are about to happen",0.78
1,3446,"implied_prevalence","behavior",6,"crullets","","chase their tails",0.31
1,4803,"implied_prevalence","diet",7,"thups","","eat human food",0.92
1,3242,"implied_prevalence","physical",8,"sapers","","live to be twenty years old",0.74
1,3964,"implied_prevalence","physical",9,"lorches","","have an exquisite sense of smell",0.89
1,2394,"implied_prevalence","diet",10,"wugs","","cannibalize each other",0.33
1,2596,"implied_prevalence","psychological",11,"kweps","","are intelligent",0.77
1,3149,"implied_prevalence","psychological",12,"ollers","","mourn their dead",0.88
1,3455,"implied_prevalence","psychological",13,"kazzes","","develop phobias",0.62
1,3167,"implied_prevalence","reproduction",14,"dorbs","","lay eggs in other birds&quotechar nests",0.89
1,6006,"implied_prevalence","diet",15,"trufts","","eat insects",0.97
1,3517,"implied_prevalence","behavior",16,"blins","","do handstands to scare off predators",0.68
1,3286,"implied_prevalence","reproduction",17,"feps","","give birth underwater",0.58
1,24303,"implied_prevalence","diet",18,"fendles","there&quotechars probably very few times that tourists leave behind alcohol","drink alcohol left behind by tourists",0.16
1,5446,"implied_prevalence","physical",19,"elleps","","have brown fur",0.82
1,14883,"implied_prevalence","diet",20,"frams","soda is probably scarce","drink soda",0.24
1,4403,"implied_prevalence","behavior_aggressive",21,"dunkels","","get in fights with other animals",0.72
1,10100,"implied_prevalence","psychological",22,"grinks","","are afraid of loud noises",0.72
1,4275,"implied_prevalence","habitat",23,"krivels","","live in zoos",0.28
1,33688,"implied_prevalence","disease_self",24,"ludinos","unless ludinos are surrounded by tobacco plants, nicotine is probably scarce","are addicted to nicotine",0.15
1,3563,"implied_prevalence","physical",25,"dobles","","have very long wings",0.87
1,4177,"implied_prevalence","psychological",26,"moxes","","experience empathy",0.65
1,3884,"implied_prevalence","reproduction",27,"plovs","","attract mates by secreting pheromones",0.92
1,4234,"implied_prevalence","habitat",28,"glippets","","live in trees",0.97
1,4939,"implied_prevalence","diet",29,"cheebas","","eat garbage",0.36
