"workerid","rt","trial_type","property","trial_num","experimentResults","missing","explanation","n_data","condition","distribution","property_type","response","category"
0,55603,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,"Every animal named later in the alphabet seemed to be around 26% ",10,"prior","rare_weak","psychological",0.21,"K"
0,55603,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,"Every animal named later in the alphabet seemed to be around 26% ",10,"prior","rare_weak","psychological",0.21,"L"
0,55603,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,"Every animal named later in the alphabet seemed to be around 26% ",10,"prior","rare_weak","psychological",0.23,"M"
0,55603,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,"Every animal named later in the alphabet seemed to be around 26% ",10,"prior","rare_weak","psychological",0.2,"N"
0,55603,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 0, 26, 0, 24, 24, 23, 26, u'?']",10,"Every animal named later in the alphabet seemed to be around 26% ",10,"prior","rare_weak","psychological",0.23,"O"
1,110978,"prior_manipulation","know when earthquakes are about to happen",1,"[97, 97, 99, 74, 100, 76, 80, 77, 80, 100, u'?']",10,"almost all animals know when an earthquake is about to happen",10,"prior","strong_or_deterministic","psychological",0.51,"K"
1,110978,"prior_manipulation","know when earthquakes are about to happen",1,"[97, 97, 99, 74, 100, 76, 80, 77, 80, 100, u'?']",10,"almost all animals know when an earthquake is about to happen",10,"prior","strong_or_deterministic","psychological",0.79,"L"
1,110978,"prior_manipulation","know when earthquakes are about to happen",1,"[97, 97, 99, 74, 100, 76, 80, 77, 80, 100, u'?']",10,"almost all animals know when an earthquake is about to happen",10,"prior","strong_or_deterministic","psychological",0.4,"M"
1,110978,"prior_manipulation","know when earthquakes are about to happen",1,"[97, 97, 99, 74, 100, 76, 80, 77, 80, 100, u'?']",10,"almost all animals know when an earthquake is about to happen",10,"prior","strong_or_deterministic","psychological",0.55,"N"
1,110978,"prior_manipulation","know when earthquakes are about to happen",1,"[97, 97, 99, 74, 100, 76, 80, 77, 80, 100, u'?']",10,"almost all animals know when an earthquake is about to happen",10,"prior","strong_or_deterministic","psychological",0.48,"O"
2,218166,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,"prior","rare_weak","psychological",0.04,"K"
2,218166,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,"prior","rare_weak","psychological",0,"L"
2,218166,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,"prior","rare_weak","psychological",0.26,"M"
2,218166,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,"prior","rare_weak","psychological",0.26,"N"
2,218166,"prior_manipulation","know when earthquakes are about to happen",1,"[26, 28, 1, 2, 0, 25, 23, 26, 1, 1, u'?']",10,"Half of the previous ones had a decent score. I went with 3 out of 5 to have the same ability during this conjecture. I suspect the overall average will be a little better than half, once all animals are inspected.",10,"prior","rare_weak","psychological",0.28,"O"
