"workerid","rt","trial_type","property_type","trial_num","animal_class","index","property","category","response"
0,89500,"category_elicitation",NA,NA,"Birds",0,NA,NA,"Kiwi"
0,89500,"category_elicitation",NA,NA,"Birds",0,NA,NA,"Hummingbird"
0,89500,"category_elicitation",NA,NA,"Birds",0,NA,NA,"Falcon"
0,89500,"category_elicitation",NA,NA,"Insects/Bugs",1,NA,NA,"Dragonfly"
0,89500,"category_elicitation",NA,NA,"Insects/Bugs",1,NA,NA,"Wolf spider"
0,89500,"category_elicitation",NA,NA,"Insects/Bugs",1,NA,NA,"Praying Mantis"
0,89500,"category_elicitation",NA,NA,"Mammals",2,NA,NA,"Cat"
0,89500,"category_elicitation",NA,NA,"Mammals",2,NA,NA,"Whale"
0,89500,"category_elicitation",NA,NA,"Mammals",2,NA,NA,"Fox"
0,89500,"category_elicitation",NA,NA,"Reptiles/Amphibeans",3,NA,NA,"Turtle"
0,89500,"category_elicitation",NA,NA,"Reptiles/Amphibeans",3,NA,NA,"cobra"
0,89500,"category_elicitation",NA,NA,"Reptiles/Amphibeans",3,NA,NA,"toad"
0,89500,"category_elicitation",NA,NA,"Fish",4,NA,NA,"Shark"
0,89500,"category_elicitation",NA,NA,"Fish",4,NA,NA,"Swordfish"
0,89500,"category_elicitation",NA,NA,"Fish",4,NA,NA,"Eel"
0,14517,"prevalence_elicitation","behavior",1,"Insects/Bugs",1,"sing beautiful songs","Praying Mantis","0"
0,14517,"prevalence_elicitation","behavior",1,"Reptiles/Amphibeans",2,"sing beautiful songs","toad","0.39"
0,14517,"prevalence_elicitation","behavior",1,"Birds",3,"sing beautiful songs","Kiwi","0.74"
0,14517,"prevalence_elicitation","behavior",1,"Insects/Bugs",4,"sing beautiful songs","Dragonfly","0.01"
0,14517,"prevalence_elicitation","behavior",1,"Fish",5,"sing beautiful songs","Swordfish","0.08"
0,13144,"prevalence_elicitation","physical",2,"Fish",1,"live to be five hundred years old","Swordfish","0"
0,13144,"prevalence_elicitation","physical",2,"Insects/Bugs",2,"live to be five hundred years old","Praying Mantis","0"
0,13144,"prevalence_elicitation","physical",2,"Birds",3,"live to be five hundred years old","Falcon","0"
0,13144,"prevalence_elicitation","physical",2,"Birds",4,"live to be five hundred years old","Kiwi","0"
0,13144,"prevalence_elicitation","physical",2,"Mammals",5,"live to be five hundred years old","Cat","0"
0,19168,"prevalence_elicitation","behavior",3,"Reptiles/Amphibeans",1,"sleep during the day","Turtle","0.77"
0,19168,"prevalence_elicitation","behavior",3,"Mammals",2,"sleep during the day","Cat","0.95"
0,19168,"prevalence_elicitation","behavior",3,"Birds",3,"sleep during the day","Hummingbird","0.37"
0,19168,"prevalence_elicitation","behavior",3,"Mammals",4,"sleep during the day","Whale","0.87"
0,19168,"prevalence_elicitation","behavior",3,"Reptiles/Amphibeans",5,"sleep during the day","toad","0.36"
0,19617,"prevalence_elicitation","behavior_aggressive",4,"Reptiles/Amphibeans",1,"capture other animals&quotechar territory","Turtle","0.27"
0,19617,"prevalence_elicitation","behavior_aggressive",4,"Fish",2,"capture other animals&quotechar territory","Swordfish","0.13"
0,19617,"prevalence_elicitation","behavior_aggressive",4,"Birds",3,"capture other animals&quotechar territory","Kiwi","0.15"
0,19617,"prevalence_elicitation","behavior_aggressive",4,"Insects/Bugs",4,"capture other animals&quotechar territory","Praying Mantis","0.15"
0,19617,"prevalence_elicitation","behavior_aggressive",4,"Mammals",5,"capture other animals&quotechar territory","Whale","0.47"
0,15849,"prevalence_elicitation","diet",5,"Reptiles/Amphibeans",1,"fish in the Hudson River","Turtle","0.06"
0,15849,"prevalence_elicitation","diet",5,"Reptiles/Amphibeans",2,"fish in the Hudson River","cobra","0"
0,15849,"prevalence_elicitation","diet",5,"Birds",3,"fish in the Hudson River","Hummingbird","0.05"
