"workerid","rt","trial_type","property_type","trial_num","category","explanation","original_response","property","response"
0,6895,"implied_prevalence","reproduction",1,"zorbs",NA,NA,"give birth underwater",0.65
0,1167,"implied_prevalence","diet",2,"daiths",NA,NA,"fish in the Hudson River",0.54
0,1400,"implied_prevalence","physical",3,"dorbs",NA,NA,"have brown fur",0.71
0,1361,"implied_prevalence","habitat",4,"grinks",NA,NA,"live in the hulls of sea vessels",0.5
0,936,"implied_prevalence","disease_self",5,"frams",NA,NA,"lose their teeth",0.48
0,1007,"implied_prevalence","behavior",6,"glippets",NA,NA,"sing beautiful songs",0.51
0,904,"implied_prevalence","psychological",7,"morseths",NA,NA,"experience empathy",0.53
0,832,"implied_prevalence","habitat",8,"luzaks",NA,NA,"live in high-rise buildings",0.52
0,1679,"implied_prevalence","diet",9,"feps",NA,NA,"eat insects",0.57
0,775,"implied_prevalence","disease_self",10,"kweps",NA,NA,"get addicted to nicotine",0.53
0,712,"implied_prevalence","reproduction",11,"stups",NA,NA,"have a menstrual cycle",0.55
0,1096,"implied_prevalence","disease_self",12,"sapers",NA,NA,"have seizures",0.53
0,737,"implied_prevalence","disease_other",13,"elleps",NA,NA,"transmit HIV",0.52
0,734,"implied_prevalence","diet",14,"dunkels",NA,NA,"eat human food",0.52
0,745,"implied_prevalence","reproduction",15,"crullets",NA,NA,"lay eggs in other birds&quotechar nests",0.53
0,1312,"implied_prevalence","behavior_aggressive",16,"dobles",NA,NA,"steal farmers&quotechar crops",0.53
0,918,"implied_prevalence","diet",17,"mooks",NA,NA,"eat garbage",0.54
0,1113,"implied_prevalence","behavior_aggressive",18,"thups",NA,NA,"get in fights with other animals",0.54
0,1087,"implied_prevalence","physical",19,"javs",NA,NA,"have very long wings",0.57
0,1576,"implied_prevalence","behavior_aggressive",20,"fendles",NA,NA,"capture other animals&quotechar territory",0.56
0,753,"implied_prevalence","reproduction",21,"trufts",NA,NA,"lay eggs without needing fertilization",0.53
0,904,"implied_prevalence","diet",22,"cheebas",NA,NA,"eat cannabis",0.55
0,896,"implied_prevalence","physical",23,"moxes",NA,NA,"have an exquisite sense of smell",0.49
0,824,"implied_prevalence","psychological",24,"ludinos",NA,NA,"know how to open doors",0.52
0,1128,"implied_prevalence","diet",25,"ackles",NA,NA,"eat grass",0.53
0,728,"implied_prevalence","physical",26,"plovs",NA,NA,"have intensely beautiful feathers",0.52
0,736,"implied_prevalence","disease_self",27,"wugs",NA,NA,"get dandruff",0.51
0,1152,"implied_prevalence","behavior",28,"lorches",NA,NA,"do handstands to scare off predators",0.54
0,952,"implied_prevalence","behavior",29,"zoovs",NA,NA,"ride the subway",0.54
0,1111,"implied_prevalence","habitat",30,"krivels",NA,NA,"live in trees",0.51
0,978,"implied_prevalence","disease_self",31,"blins",NA,NA,"have strange genetic mutations",0.51
0,1255,"implied_prevalence","habitat",32,"pangolins",NA,NA,"live in zoos",0.51
0,920,"implied_prevalence","behavior_aggressive",33,"reesles",NA,NA,"torture other animals",0.59
0,3695,"implied_prevalence","psychological",34,"kazzes",NA,NA,"are intelligent",0.42
0,887,"implied_prevalence","behavior_aggressive",35,"taifels",NA,NA,"pound their chests to display dominance",0.5
0,1201,"implied_prevalence","behavior_aggressive",36,"ollers",NA,NA,"hunt other animals",0.52
0,11445,"explain_responses","psychological",1,"kazzes","Guessed.",0.42,"are intelligent",0.42
0,4895,"explain_responses","disease_self",2,"frams","Guessed.",0.48,"lose their teeth",0.48
0,5079,"explain_responses","physical",3,"moxes","Guessed.",0.49,"have an exquisite sense of smell",0.49
1,7349,"implied_prevalence","behavior",1,"ollers",NA,NA,"swim in shallow pools",0.95
1,6324,"implied_prevalence","physical",2,"morseths",NA,NA,"live to be five hundred years old",0.86
1,6747,"implied_prevalence","behavior",3,"sapers",NA,NA,"perform in the circus",0.2
1,3187,"implied_prevalence","reproduction",4,"frams",NA,NA,"give birth underwater",1
1,5420,"implied_prevalence","behavior_aggressive",5,"glippets",NA,NA,"get in fights with other animals",0.75
1,5179,"implied_prevalence","disease_self",6,"dobles",NA,NA,"have strange genetic mutations",1
