"workerid","tested_on","response","check_index","property","correct","condition"
0,1,0,0,"have an exquisite sense of smell",0,"memory_check"
0,0,1,1,"eat plants",0,"memory_check"
0,0,0,2,"have gold spots",1,"memory_check"
0,1,0,3,"live in high-rise buildings",0,"memory_check"
0,0,0,4,"have infected scales",1,"memory_check"
0,1,0,5,"have very long wings",0,"memory_check"
0,0,1,6,"have long legs",0,"memory_check"
0,0,0,7,"can see at night",1,"memory_check"
0,1,0,8,"eat cannabis",0,"memory_check"
0,1,0,9,"have seizures",0,"memory_check"
1,1,1,0,"ride the subway",1,"memory_check"
1,0,0,1,"have long legs",1,"memory_check"
1,0,0,2,"have gold spots",1,"memory_check"
1,1,1,3,"fish in the Hudson River",1,"memory_check"
1,1,1,4,"carry Lyme disease",1,"memory_check"
1,1,1,5,"carry malaria",1,"memory_check"
1,0,0,6,"have infected scales",1,"memory_check"
1,1,1,7,"have a menstrual cycle",1,"memory_check"
1,0,0,8,"can see at night",1,"memory_check"
1,0,0,9,"eat plants",1,"memory_check"
2,1,0,0,"eat grass",0,"memory_check"
2,0,0,1,"have long legs",1,"memory_check"
2,0,0,2,"have gold spots",1,"memory_check"
2,1,0,3,"have dozens of sexual partners",0,"memory_check"
2,0,0,4,"have infected scales",1,"memory_check"
2,0,0,5,"eat plants",1,"memory_check"
2,1,1,6,"torture other animals",1,"memory_check"
2,0,1,7,"can see at night",0,"memory_check"
2,1,1,8,"lay eggs without needing fertilization",1,"memory_check"
2,1,0,9,"do handstands to scare off predators",0,"memory_check"
3,1,1,0,"have an exquisite sense of smell",1,"memory_check"
3,0,0,1,"have gold spots",1,"memory_check"
3,0,0,2,"eat plants",1,"memory_check"
3,0,0,3,"can see at night",1,"memory_check"
3,1,1,4,"get dandruff",1,"memory_check"
3,1,1,5,"drink alcohol left behind by tourists",1,"memory_check"
3,0,0,6,"have long legs",1,"memory_check"
3,1,1,7,"fish in the Hudson River",1,"memory_check"
3,1,1,8,"eat cannabis",1,"memory_check"
3,0,0,9,"have infected scales",1,"memory_check"
4,0,0,0,"have infected scales",1,"memory_check"
4,1,1,1,"use tools",1,"memory_check"
4,1,1,2,"eat people",1,"memory_check"
4,0,0,3,"have gold spots",1,"memory_check"
4,1,1,4,"have spots",1,"memory_check"
4,0,0,5,"can see at night",1,"memory_check"
4,0,0,6,"have long legs",1,"memory_check"
4,1,1,7,"lose their teeth",1,"memory_check"
4,1,1,8,"perform in the circus",1,"memory_check"
4,0,0,9,"eat plants",1,"memory_check"
5,1,1,0,"feed on the carcasses of dead animals",1,"memory_check"
5,1,0,1,"are afraid of loud noises",0,"memory_check"
5,1,1,2,"are afraid of dogs",1,"memory_check"
5,1,0,3,"experience empathy",0,"memory_check"
5,1,0,4,"eat cannabis",0,"memory_check"
5,0,1,5,"eat plants",0,"memory_check"
5,0,0,6,"have long legs",1,"memory_check"
5,0,0,7,"can see at night",1,"memory_check"
5,0,0,8,"have gold spots",1,"memory_check"
5,0,0,9,"have infected scales",1,"memory_check"
6,1,0,0,"capture other animals&quotechar territory",0,"memory_check"
6,0,1,1,"eat plants",0,"memory_check"
6,1,1,2,"have dozens of sexual partners",1,"memory_check"
6,0,1,3,"have infected scales",0,"memory_check"
6,1,0,4,"carry out premeditated murder",0,"memory_check"
