"workerid","rt","trial_type","property_type","trial_num","category","property","response"
0,6129,"implied_prevalence","psychological",1,"crullets","experience empathy",0.5
0,2427,"implied_prevalence","disease",2,"zorbs","have seizures",0.24
0,3209,"implied_prevalence","diet",3,"cheebas","eat meat",0.95
0,2537,"implied_prevalence","physical",4,"grinks","have an excellent sense of smell",1
0,2267,"implied_prevalence","physical",5,"morseths","have spots",1
0,1906,"implied_prevalence","behavior",6,"kweps","fly into buildings",1
0,1684,"implied_prevalence","physical",7,"mooks","have white fur",1
0,2045,"implied_prevalence","psychological",8,"moxes","have personalities",0.52
0,2595,"implied_prevalence","reproduction",9,"reesles","lay eggs in other birds&quotechar nests",1
0,2195,"implied_prevalence","psychological",10,"plovs","mourn their dead",0.78
0,2408,"implied_prevalence","behavior",11,"daiths","sing beautiful songs",1
0,2087,"implied_prevalence","disease",12,"luzaks","carry Lyme disease",1
0,2580,"implied_prevalence","habitat",13,"lorches","live in zoos",0.27
0,2262,"implied_prevalence","physical",14,"frams","have brown fur",1
0,3335,"implied_prevalence","psychological",15,"trufts","know when earthquakes are about to happen",0.49
0,2222,"implied_prevalence","psychological",16,"ludinos","are afraid of loud noises",1
0,1994,"implied_prevalence","diet",17,"stups","eat insects",1
0,1903,"implied_prevalence","physical",18,"fendles","have beautiful feathers",1
0,1945,"implied_prevalence","behavior",19,"zoovs","torture other animals",1
0,1603,"implied_prevalence","habitat",20,"wugs","live in urban areas",1
0,1585,"implied_prevalence","psychological",21,"blins","are intelligent",0.51
0,2089,"implied_prevalence","habitat",22,"pangolins","live in trees",1
0,2117,"implied_prevalence","disease",23,"kazzes","carry malaria",1
0,1803,"implied_prevalence","disease",24,"ackles","are addicted to nicotine",1
0,1927,"implied_prevalence","behavior",25,"ollers","swim in shallow pools",1
0,3282,"implied_prevalence","behavior",26,"dorbs","hunt other animals",1
0,3494,"implied_prevalence","behavior",27,"feps","do handstands to scare off predators",1
0,1982,"implied_prevalence","diet",28,"thups","eat people",1
0,1893,"implied_prevalence","behavior",29,"dobles","sleep during the day",1
0,1580,"implied_prevalence","psychological",30,"glippets","experience emotions",0.49
0,1459,"implied_prevalence","diet",31,"sapers","eat grass",1
0,1580,"implied_prevalence","reproduction",32,"javs","give birth underwater",1
0,2081,"implied_prevalence","behavior",33,"taifels","use tools",0.87
0,2008,"implied_prevalence","reproduction",34,"dunkels","lay eggs without needing fertilization",1
0,2872,"implied_prevalence","diet",35,"krivels","eat garbage",1
0,2745,"implied_prevalence","psychological",36,"elleps","are afraid of dogs",0.87
1,6019,"implied_prevalence","psychological",1,"frams","are afraid of dogs",0.95
1,2866,"implied_prevalence","behavior",2,"mooks","sleep during the day",1
1,2034,"implied_prevalence","behavior",3,"wugs","fly into buildings",0.92
1,3115,"implied_prevalence","psychological",4,"plovs","mourn their dead",0.91
1,2317,"implied_prevalence","reproduction",5,"luzaks","give birth underwater",0.89
1,1808,"implied_prevalence","diet",6,"ackles","eat insects",0.91
1,2376,"implied_prevalence","physical",7,"crullets","have spots",0.89
1,2254,"implied_prevalence","diet",8,"pangolins","eat people",0.92
1,1817,"implied_prevalence","diet",9,"lorches","eat meat",0.91
1,1515,"implied_prevalence","physical",10,"dobles","have beautiful feathers",0.9
1,8140,"implied_prevalence","behavior",11,"ludinos","torture other animals",0.9
1,2215,"implied_prevalence","psychological",12,"moxes","know when earthquakes are about to happen",0.88
1,13148,"implied_prevalence","physical",13,"fendles","have white fur",0.94
1,20702,"implied_prevalence","behavior",14,"kazzes","sing beautiful songs",0.92
1,16933,"implied_prevalence","psychological",15,"zoovs","experience empathy",0.94
1,1784,"implied_prevalence","disease",16,"grinks","have seizures",0.87
1,1579,"implied_prevalence","disease",17,"morseths","carry Lyme disease",0.97
1,1619,"implied_prevalence","behavior",18,"taifels","swim in shallow pools",0.9
1,1938,"implied_prevalence","psychological",19,"cheebas","have personalities",0.92
1,1304,"implied_prevalence","psychological",20,"dorbs","experience emotions",0.97
1,1176,"implied_prevalence","diet",21,"blins","eat garbage",0.88
1,4946,"implied_prevalence","disease",22,"kweps","carry malaria",0.9
1,6130,"implied_prevalence","disease",23,"feps","are addicted to nicotine",0.94
1,1484,"implied_prevalence","psychological",24,"ollers","are afraid of loud noises",0.89
1,1660,"implied_prevalence","behavior",25,"zorbs","hunt other animals",0.89
1,1549,"implied_prevalence","reproduction",26,"elleps","lay eggs in other birds&quotechar nests",0.87
1,2178,"implied_prevalence","psychological",27,"glippets","are intelligent",0.9
1,2457,"implied_prevalence","habitat",28,"thups","live in zoos",0.92
1,1422,"implied_prevalence","physical",29,"reesles","have brown fur",0.91
1,1621,"implied_prevalence","physical",30,"javs","have an excellent sense of smell",0.96
1,1654,"implied_prevalence","habitat",31,"krivels","live in urban areas",0.94
1,3587,"implied_prevalence","reproduction",32,"dunkels","lay eggs without needing fertilization",0.91
1,5864,"implied_prevalence","habitat",33,"sapers","live in trees",0.95
1,1791,"implied_prevalence","behavior",34,"stups","do handstands to scare off predators",0.97
1,7139,"implied_prevalence","behavior",35,"trufts","use tools",0.96
1,2528,"implied_prevalence","diet",36,"daiths","eat grass",0.97
2,9958,"implied_prevalence","physical",1,"lorches","have white fur",1
2,2990,"implied_prevalence","physical",2,"daiths","have an excellent sense of smell",1
2,3400,"implied_prevalence","diet",3,"elleps","eat grass",1
2,2616,"implied_prevalence","psychological",4,"dobles","mourn their dead",1
2,2358,"implied_prevalence","psychological",5,"ollers","experience emotions",1
2,2864,"implied_prevalence","behavior",6,"ackles","swim in shallow pools",1
2,3529,"implied_prevalence","behavior",7,"taifels","sing beautiful songs",0.94
2,3719,"implied_prevalence","physical",8,"pangolins","have spots",0.96
2,4024,"implied_prevalence","reproduction",9,"feps","lay eggs without needing fertilization",1
2,6664,"implied_prevalence","habitat",10,"grinks","live in trees",0.99
2,2600,"implied_prevalence","diet",11,"zorbs","eat insects",1
2,3647,"implied_prevalence","behavior",12,"blins","hunt other animals",1
2,3608,"implied_prevalence","physical",13,"frams","have beautiful feathers",0.99
2,5288,"implied_prevalence","psychological",14,"trufts","experience empathy",0.99
2,4040,"implied_prevalence","behavior",15,"morseths","torture other animals",0.99
2,18344,"implied_prevalence","habitat",16,"thups","live in zoos",0.8
2,5655,"implied_prevalence","behavior",17,"dunkels","fly into buildings",0.8
2,2881,"implied_prevalence","psychological",18,"krivels","are intelligent",0.95
2,4719,"implied_prevalence","diet",19,"sapers","eat garbage",0.9
2,3216,"implied_prevalence","diet",20,"crullets","eat meat",1
2,2176,"implied_prevalence","reproduction",21,"glippets","give birth underwater",1
2,4056,"implied_prevalence","disease",22,"kweps","have seizures",0.85
2,4641,"implied_prevalence","disease",23,"wugs","carry Lyme disease",0.34
2,5625,"implied_prevalence","habitat",24,"kazzes","live in urban areas",0.95
2,4096,"implied_prevalence","diet",25,"cheebas","eat people",0.5
2,2398,"implied_prevalence","psychological",26,"fendles","have personalities",1
2,3881,"implied_prevalence","behavior",27,"plovs","do handstands to scare off predators",0.96
2,4174,"implied_prevalence","psychological",28,"mooks","are afraid of loud noises",0.99
2,5389,"implied_prevalence","physical",29,"moxes","have brown fur",0.95
2,4474,"implied_prevalence","behavior",30,"zoovs","sleep during the day",0.99
2,4129,"implied_prevalence","psychological",31,"ludinos","are afraid of dogs",0.99
2,7391,"implied_prevalence","psychological",32,"javs","know when earthquakes are about to happen",0.8
2,3440,"implied_prevalence","behavior",33,"dorbs","use tools",0.95
