"workerid","rt","trial_type","property_type","trial_num","category","explanation","original_response","property","response"
0,8110,"implied_prevalence","psychological",1,"mooks",NA,NA,"are afraid of loud noises",0.93
0,7348,"implied_prevalence","psychological",2,"frams",NA,NA,"know how to ride bicycles",0.94
0,2786,"implied_prevalence","habitat",3,"dobles",NA,NA,"live in trees",0.93
0,2861,"implied_prevalence","behavior",4,"ollers",NA,NA,"chase their tails",0.94
0,4102,"implied_prevalence","behavior",5,"kweps",NA,NA,"sing beautiful songs",0.95
0,2826,"implied_prevalence","reproduction",6,"feps",NA,NA,"get erections",0.99
0,2793,"implied_prevalence","behavior",7,"plovs",NA,NA,"fly into building windows",0.97
0,2208,"implied_prevalence","behavior_aggressive",8,"stups",NA,NA,"torture other animals",0.95
0,2317,"implied_prevalence","behavior",9,"ackles",NA,NA,"sleep during the day",0.97
0,2801,"implied_prevalence","physical",10,"sapers",NA,NA,"have four legs",0.96
0,3446,"implied_prevalence","disease_other",11,"crullets",NA,NA,"transmit HIV",0.94
0,2595,"implied_prevalence","diet",12,"wugs",NA,NA,"feed on the carcasses of dead animals",0.95
0,2469,"implied_prevalence","behavior",13,"cheebas",NA,NA,"do handstands to scare off predators",0.98
0,4609,"implied_prevalence","diet",14,"fendles",NA,NA,"eat people",0.94
0,2793,"implied_prevalence","behavior",15,"lorches",NA,NA,"like to cuddle",0.95
0,2325,"implied_prevalence","diet",16,"reesles",NA,NA,"eat insects",0.96
0,2693,"implied_prevalence","behavior_aggressive",17,"trufts",NA,NA,"hunt other animals",0.97
0,2722,"implied_prevalence","physical",18,"luzaks",NA,NA,"have intensely beautiful feathers",0.96
0,2270,"implied_prevalence","reproduction",19,"taifels",NA,NA,"attract mates by secreting pheromones",1
0,2494,"implied_prevalence","behavior_aggressive",20,"zoovs",NA,NA,"capture other animals&quotechar territory",0.93
0,2939,"implied_prevalence","habitat",21,"morseths",NA,NA,"live in high-rise buildings",0.95
0,2931,"implied_prevalence","psychological",22,"thups",NA,NA,"know how to open doors",0.96
