"workerid","rt","trial_type","property","trial_num","experimentResults","missing","explanation","n_data","condition","distribution","property_type","response","category"
0,114429,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 45, 30, 80, 5, 95, 70, 20, 55, 0, u'?']",10,"The knowledge chance was all over the place, from 100 to near zero, without any real notable pattern. So one very high a couple low and one in the middle. ",10,"prior","uniform","psychological",0.75,"K"
0,114429,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 45, 30, 80, 5, 95, 70, 20, 55, 0, u'?']",10,"The knowledge chance was all over the place, from 100 to near zero, without any real notable pattern. So one very high a couple low and one in the middle. ",10,"prior","uniform","psychological",0.11,"L"
0,114429,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 45, 30, 80, 5, 95, 70, 20, 55, 0, u'?']",10,"The knowledge chance was all over the place, from 100 to near zero, without any real notable pattern. So one very high a couple low and one in the middle. ",10,"prior","uniform","psychological",0.29,"M"
0,114429,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 45, 30, 80, 5, 95, 70, 20, 55, 0, u'?']",10,"The knowledge chance was all over the place, from 100 to near zero, without any real notable pattern. So one very high a couple low and one in the middle. ",10,"prior","uniform","psychological",0.46,"N"
0,114429,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 45, 30, 80, 5, 95, 70, 20, 55, 0, u'?']",10,"The knowledge chance was all over the place, from 100 to near zero, without any real notable pattern. So one very high a couple low and one in the middle. ",10,"prior","uniform","psychological",0.24,"O"
1,168612,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 49, 100, 100, 49, 47, 51, 94, 100, 47, u'?']",10,"The pattern seemed to be one or two animals that have 100% then one with a lower number, then another animal with 100% or high statistic then followed by 3 or 4 with mid-ranged to low statistics. So I chose the first next animal to be 100% then lowering the following two and then higher for the 4th animal and mid range again for the final animal. ",10,"prior","half_or_deterministic","psychological",1,"K"
1,168612,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 49, 100, 100, 49, 47, 51, 94, 100, 47, u'?']",10,"The pattern seemed to be one or two animals that have 100% then one with a lower number, then another animal with 100% or high statistic then followed by 3 or 4 with mid-ranged to low statistics. So I chose the first next animal to be 100% then lowering the following two and then higher for the 4th animal and mid range again for the final animal. ",10,"prior","half_or_deterministic","psychological",0.5,"L"
1,168612,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 49, 100, 100, 49, 47, 51, 94, 100, 47, u'?']",10,"The pattern seemed to be one or two animals that have 100% then one with a lower number, then another animal with 100% or high statistic then followed by 3 or 4 with mid-ranged to low statistics. So I chose the first next animal to be 100% then lowering the following two and then higher for the 4th animal and mid range again for the final animal. ",10,"prior","half_or_deterministic","psychological",0.3,"M"
1,168612,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 49, 100, 100, 49, 47, 51, 94, 100, 47, u'?']",10,"The pattern seemed to be one or two animals that have 100% then one with a lower number, then another animal with 100% or high statistic then followed by 3 or 4 with mid-ranged to low statistics. So I chose the first next animal to be 100% then lowering the following two and then higher for the 4th animal and mid range again for the final animal. ",10,"prior","half_or_deterministic","psychological",0.86,"N"
1,168612,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 49, 100, 100, 49, 47, 51, 94, 100, 47, u'?']",10,"The pattern seemed to be one or two animals that have 100% then one with a lower number, then another animal with 100% or high statistic then followed by 3 or 4 with mid-ranged to low statistics. So I chose the first next animal to be 100% then lowering the following two and then higher for the 4th animal and mid range again for the final animal. ",10,"prior","half_or_deterministic","psychological",0.63,"O"
2,123486,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 98, 1, 100, 98, 100, 1, 100, u'?']",10,"Following the pattern from the previous findings.",10,"prior","rare_deterministic","psychological",0,"K"
2,123486,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 98, 1, 100, 98, 100, 1, 100, u'?']",10,"Following the pattern from the previous findings.",10,"prior","rare_deterministic","psychological",0,"L"
2,123486,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 98, 1, 100, 98, 100, 1, 100, u'?']",10,"Following the pattern from the previous findings.",10,"prior","rare_deterministic","psychological",0,"M"
2,123486,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 98, 1, 100, 98, 100, 1, 100, u'?']",10,"Following the pattern from the previous findings.",10,"prior","rare_deterministic","psychological",0.89,"N"
